station,lat,lon
Kalisz Szczypiorno,51.7259333,18.0272669
Kalisz Winiary,51.7334923,18.1413193
Kaliszki,53.620475,22.00602
Kalwaria Zebrzydowska,49.8738845,19.6737522
Kalwaria Zebrzydowska Lanckorona,49.8711791,19.6886185
Kamieniec Ząbkowicki,50.5363239,16.897348
Kamienna Nowa,53.6915744,23.2626411
Kamień Mały,52.6415607,14.7800351
Kamień Łowicki,51.9887032,19.753151
Kamieńczyce,50.3273492,20.0057484
Kamieńsk,51.1862977,19.4991442
Kamionka Wielka,49.5780239,20.7814241
Kamionki Jezioro,53.1297934,18.7797825
Kanie,51.1246459,23.1040689
Karlino,54.0452944,15.8833233
Kartuzy,54.3300564,18.2046825
Karwice,54.3450227,16.5352562
Karłowice,50.8802597,17.6990536
Katowice,50.2576071,19.0171456
Katowice Brynów,50.2442339,18.983371
Katowice Ligota,50.2260023,18.9778134
Katowice Piotrowice,50.2132694,18.9699649
Katowice Podlesie,50.1829287,18.960329
Katowice Szopienice Południowe,50.2589152,19.092466
Katowice Zawodzie,50.2572998,19.0574498
Katowice Załęże,50.2638657,18.9895811
